Unit,SaleAmount,Date
111,210000,2024-10-04
111,118000,2019-02-22
111,10,2016-01-07
111,100,2012-08-02
111,35300,2009-03-02
111,100,2008-10-06
111,186000,2006-12-07
111,159900,2005-03-18
111,109900,2005-03-18
111,100,2004-11-05
111,100,2004-11-05
111,1855000,2003-07-01
111,100,2002-07-11
111,100,2000-12-21
111,100,1989-11-07
111,100,1989-11-05
112,58000,2012-06-22
112,42500,2010-06-23
112,100,2010-02-16
112,100,2010-01-11
112,100,2007-02-14
112,107900,2005-03-23
112,100,2004-11-05
112,100,2004-11-05
112,1855000,2003-07-01
112,100,2002-07-11
112,100,2000-12-21
112,100,1989-11-07
112,100,1989-11-05
113,129750,2020-06-26
113,45000,2010-08-30
113,0,2010-06-04
113,220000,2006-01-05
113,55200,2006-01-05
113,107900,2005-04-14
113,118000,2005-03-21
113,100,2004-11-05
113,100,2004-11-05
113,1855000,2003-07-01
113,100,2002-07-11
113,100,2000-12-21
113,100,1989-11-07
113,100,1989-11-05
114,10,2022-08-25
114,65000,2013-11-14
114,39000,2011-05-24
114,107900,2005-03-25
114,100,2004-11-05
114,100,2004-11-05
114,1855000,2003-07-01
114,100,2002-07-11
114,100,2000-12-21
114,100,1989-11-07
114,100,1989-11-05
115,70000,2013-09-06
115,40000,2009-05-29
115,35100,2009-03-31
115,100,2008-11-12
115,107900,2005-03-23
115,100,2004-11-05
115,100,2004-11-05
115,1855000,2003-07-01
115,100,2002-07-11
115,100,2000-12-21
115,100,1989-11-07
115,100,1989-11-05
116,54000,2012-05-04
116,10,2012-03-30
116,100,2009-10-09
116,51000,2009-06-18
116,100,2009-05-07
116,215000,2006-06-29
116,109900,2005-03-18
116,149900,2005-03-16
116,100,2004-11-05
116,100,2004-11-05
116,1855000,2003-07-01
116,100,2002-07-11
116,100,2000-12-21
116,100,1989-11-07
116,100,1989-11-05
121,101500,2016-08-29
121,44000,2009-02-12
121,100,2008-08-12
121,197500,2005-09-07
121,109900,2005-03-17
121,154000,2005-03-15
121,100,2004-11-05
121,100,2004-11-05
121,1855000,2003-07-01
121,100,2002-07-11
121,100,2000-12-21
121,100,1989-11-07
121,100,1989-11-05
122,228000,2024-08-19
122,169900,2005-05-13
122,103900,2005-03-21
122,100,2004-11-05
122,100,2004-11-05
122,1855000,2003-07-01
122,100,2002-07-11
122,100,2000-12-21
122,100,1989-11-07
122,100,1989-11-05
123,55000,2009-09-14
123,29100,2009-07-15
123,200000,2005-08-05
123,139000,2005-03-16
123,103900,2005-03-16
123,100,2004-11-05
